latitude,longitude,name,price,property_type,month,country_code,suburb,rating,city,availability,minimum_nights,maximum_nights,room_type,bedrooms,bathrooms,amenities_count,number_of_reviews
20.8751,-156.67428,"Lahaina Condo Near Front St. Upstairs, Corner Unit",220,Condominium,3,US,Maui,6,Unknown,,3,1125,Entire home/apt,2.0,1.0,25,62
40.82098,-73.94214,Harlem Parkside - 1 cozy bedroom,75,Condominium,3,US,Manhattan,5,Unknown,,3,28,Private room,1.0,1.5,25,3
22.2779,114.17739,Wan Chai 3 Bedrooms Spacious Convenient Spot,1303,Apartment,3,HK,Wan Chai District,6,Unknown,,4,1125,Entire home/apt,3.0,1.0,19,73
-33.87175,151.19396,AMAZING split level Penthouse,300,Apartment,3,AU,Pyrmont,5,Unknown,,5,30,Entire home/apt,2.0,2.0,24,3
20.90555,-156.37272,Mike's House- Hina Room,95,House,3,US,Maui,8,Unknown,,1,1125,Private room,1.0,1.0,20,192
-33.93171,151.13956,Penthouse resort Apartment feel,50,Apartment,3,AU,Turrella,5,Unknown,,30,60,Private room,1.0,1.0,30,1
41.39598,2.16991,Lovely room with the best location ever!,60,Apartment,3,ES,Dreta de l'Eixample,5,Unknown,,3,10,Private room,1.0,1.0,9,28
22.2893,114.19518,北角公寓 单人间,675,Apartment,3,HK,Fortress Hill,5,Unknown,,1,4,Private room,1.0,1.0,10,0
45.51693,-73.59851,Architectural 2BR in Mile End by Sonder,85,Apartment,3,CA,Outremont,5,Unknown,,2,1124,Entire home/apt,2.0,1.0,29,16
-33.87897,151.21538,"Spacious two bed apartment, Surry Hills",175,Condominium,3,AU,Darlinghurst,5,Unknown,,3,10,Private room,1.0,1.0,19,1
-33.92244,151.24527,Close to Coogee beach and fun stuff,119,Apartment,3,AU,Randwick,5,Unknown,,2,30,Entire home/apt,2.0,1.0,19,4
-33.81454,151.04927,DOUBLE BED+FREE TEA AND COFFEE!,135,House,3,AU,,5,Unknown,,2,1125,Private room,1.0,1.0,14,5
21.69889,-157.99358,Turtle Bay Suite Newly Renovated!,100,Apartment,3,US,Ko'olauloa,6,Unknown,,1,1125,Entire home/apt,1.0,1.0,27,67
45.52932,-73.57922,Cozy Appartement in the heart of the Plateau,81,Apartment,3,CA,Le Plateau-Mont-Royal,5,Unknown,,2,14,Entire home/apt,1.0,1.0,10,0
20.69263,-156.43391,"Wailea Ekahi 48C ~ 1 BR, 2 BA Garden Setting",320,Condominium,3,US,Maui,5,Unknown,,4,1125,Entire home/apt,1.0,2.0,19,0
41.37333,2.17377,CITY CENTER FLAT WITH VIEW TERRACE,59,Apartment,3,ES,Sants-Montjuïc,5,Unknown,,32,1125,Entire home/apt,2.0,1.5,43,10
45.49533,-73.5699,5 STARS DOWNTOWN with PARKING ( 2BDR )BELL Center,189,Serviced apartment,3,CA,Downtown Montreal,6,Unknown,,3,1125,Entire home/apt,2.0,1.0,65,86
-33.79841,151.07671,Great  house with a big room No. 6,36,House,3,AU,,5,Unknown,,2,1125,Private room,1.0,2.5,22,41
40.70628,-73.94541,"Stylish, Bright & Airy 4 Room Loft in Williamsburg",149,Apartment,3,US,Brooklyn,5,Unknown,,3,360,Entire home/apt,1.0,1.0,22,37
21.34049,-157.84952,Ocean View Home for Vacations and Executive Stays,135,House,3,US,Liliha/Kapalama,5,Unknown,,4,9,Entire home/apt,3.0,2.0,29,7
-22.914654742193676,-43.18801158197427,"LAPA, FOR LEISURE OR BUSINESS",90,Apartment,2,BR,Lapa,5,Unknown,,2,1125,Entire home/apt,1.0,1.0,17,41
45.53454,-73.57684,Cozy appartement in the plateau of Montreal !,50,Apartment,3,CA,Le Plateau-Mont-Royal,5,Unknown,,2,1125,Private room,2.0,1.0,30,6
41.04209,28.93406,Eyüp'de teraslı ve garajlı konak...,148,Loft,2,TR,Fatih,5,Unknown,,1,1125,Private room,1.0,1.0,7,0
-22.984971035527924,-43.22694156300586,Loft Leblon próximo a praia rua Aristide Espindola,298,Loft,2,BR,Leblon,5,Unknown,,3,28,Entire home/apt,0.0,1.0,27,14
-33.88709,151.26919,A jewel in Bondi,500,House,3,AU,Bondi Beach,5,Unknown,,6,21,Entire home/apt,4.0,3.0,18,2
-33.92619,151.25062,Room rent in Coogee,50,Apartment,3,AU,Coogee,5,Unknown,,21,23,Private room,1.0,1.0,14,0
22.05558,-159.32462,Coconut Beach. Kapaa Condo 1BD 1BA Full Kitchen,129,Condominium,3,US,Kauaʻi,5,Unknown,,3,1125,Entire home/apt,1.0,1.0,42,48
-22.986311751432236,-43.22575981948327,Melhor ponto do Leblon / 3 quartos,1000,Apartment,2,BR,Leblon,5,Unknown,,1,15,Entire home/apt,3.0,2.5,14,0
40.82184,-73.95031,Only 10 mins to CENTRAL PARK! :),69,Apartment,3,US,Manhattan,7,Unknown,,5,60,Private room,1.0,1.0,28,141
40.68493,-73.94403,2 Beds Brooklyn Tree Lined Blk 15 min to Manhattan,179,Townhouse,3,US,Bedford-Stuyvesant,6,Unknown,,31,90,Entire home/apt,1.0,1.0,35,59
40.71459,-73.96171,New York Williamsburg empire state of mind,199,Apartment,3,US,Williamsburg,5,Unknown,,3,90,Entire home/apt,1.0,1.0,51,41
45.51301,-73.55963,Cosy apartment - great location,75,Apartment,3,CA,Quartier des Spectacles,5,Unknown,,2,14,Entire home/apt,1.0,1.0,21,2
41.38542,2.18067,Two person room in vibrant Old Town,40,Apartment,3,ES,Ciutat Vella,7,Unknown,,2,1125,Private room,1.0,1.5,23,135
21.26749,-157.78819,Kahala Ali'i,1500,House,3,US,Oʻahu,5,Unknown,,7,1125,Entire home/apt,6.0,5.0,22,0
22.05299,-159.33306,Kapaa Sands 17 Ocean View Apartment,129,Condominium,3,US,Kauaʻi,5,Unknown,,3,90,Entire home/apt,0.0,1.0,10,3
-23.011040795968057,-43.35499632022474,Flat 1 qto frontal mar varandao! Vista linda!,548,Apartment,2,BR,Barra da Tijuca,5,Unknown,,1,1125,Entire home/apt,1.0,1.0,7,0
41.14946,-8.60696,5º | Palácio do Comércio,200,Apartment,2,PT,,6,Unknown,,2,900,Entire home/apt,4.0,3.0,15,60
40.96469,29.07722,One Bedroom/Caddebostan,121,Serviced apartment,2,TR,Kadıköy,5,Unknown,,2,1125,Shared room,1.0,1.0,22,3
-33.97051,151.10714,Nice room with ensuite in Hurstville close to TS,55,Townhouse,3,AU,Hurstville,5,Unknown,,3,20,Private room,1.0,1.0,13,16
-33.82516,151.07851,Cosy Sunset View & Waterfront Apt + Free Parking,100,Apartment,3,AU,Rhodes,7,Unknown,,1,1125,Entire home/apt,1.0,1.0,52,115
19.61006,-155.97896,Seaside Cottage - A sand beach is your front yard!,500,Cottage,3,US,Island of Hawaiʻi,5,Unknown,,4,1125,Entire home/apt,3.0,3.0,47,22
19.58556,-155.96845,Gorgeous Remodeled Modern Home w/ Beach Across St.,194,House,3,US,Island of Hawaiʻi,6,Unknown,,3,1125,Entire home/apt,2.0,2.0,33,55
41.39602,2.17944,Room with a double bed close to Arc de Triomf,45,Apartment,3,ES,Eixample,5,Unknown,,2,4,Private room,1.0,1.5,12,7
-33.8771,151.22814,Breathtaking view a walk away from sydney CBD,119,Apartment,3,AU,Darlinghurst,5,Unknown,,2,16,Private room,1.0,2.0,15,43
-33.61089,151.32905,Whale Beach Sensation,1200,House,3,AU,Palm Beach,5,Unknown,,4,1125,Entire home/apt,6.0,5.0,16,0
21.28582,-157.83903,Ocean/Sunset /Firework View 1 BR Ilikai Marina 482,275,Condominium,3,US,Honolulu,5,Unknown,,4,1124,Entire home/apt,1.0,1.0,31,15
40.71916,-73.99229,**Cozy Room In Hip Ultra Location LES/NOLITA**,98,Apartment,3,US,Manhattan,6,Unknown,,2,29,Private room,1.0,1.0,16,68
-33.89753,151.15609,historical victorian mansion next to Sydney centre,151,House,3,AU,Petersham,6,Unknown,,1,1125,Private room,2.0,2.0,20,55
41.37247,2.16651,Cozy Split Level Home with Exposed Brick Walls,110,Tiny house,3,ES,Sants-Montjuïc,6,Unknown,,4,1125,Entire home/apt,0.0,1.0,35,83
41.17025,-8.61834,Delux room,26,Serviced apartment,2,PT,,5,Unknown,,3,1125,Private room,1.0,1.0,38,3
45.52141,-73.56503,Chambre dans coloc chaleureuse,30,Apartment,3,CA,Downtown Montreal,5,Unknown,,7,1125,Entire home/apt,1.0,1.0,15,3
22.28699,114.14013,Spacious in Sai Ying Pun,1397,Apartment,3,HK,Sai Ying Pun,5,Unknown,,3,14,Entire home/apt,2.0,1.0,18,10
41.38052,2.17934,What a place in Barcelona in the center,43,Apartment,3,ES,El Gòtic,5,Unknown,,31,360,Entire home/apt,1.0,1.0,22,15
40.69092,-73.92866,Huge kid-friendly Brooklyn home with parking/patio,150,House,3,US,Bedford-Stuyvesant,5,Unknown,,10,1125,Entire home/apt,2.0,2.5,38,3
-33.9544,151.00705,Villa Hodgkinson 18A - Convenient Sydney Location,296,Townhouse,3,AU,Revesby,5,Unknown,,2,1125,Entire home/apt,4.0,2.5,35,1
21.28588,-157.83365,Studio With Great View & Price in Waikiki,90,Apartment,3,US,Honolulu,5,Unknown,,2,1125,Entire home/apt,0.0,1.0,17,46
-33.63131,151.32562,Tree hide away near the beach,118,House,3,AU,Avalon,5,Unknown,,2,7,Entire home/apt,1.0,1.5,19,37
40.79449,-73.97347,Tranquil 1 bed pre war apartment,100,Apartment,3,US,Upper West Side,5,Unknown,,7,30,Entire home/apt,1.0,1.0,7,0
41.00937,28.97577,Comfort Double Room,179,Bed and breakfast,2,TR,Fatih,5,Unknown,,1,29,Private room,1.0,1.0,20,18
45.53031,-73.591,Trés joli studio au coeur du Plateau Mont Royal,27,Apartment,3,CA,Le Plateau-Mont-Royal,5,Unknown,,3,30,Entire home/apt,0.0,1.0,16,2
